Kode_Barang,Nama_Barang,Stok_1,Stok_2,Stok_3,Stok_4,Stok_5,Stok_6,Stok_7,Stok_8,Stok_9,Stok_10,Stok_11,Stok_12,Stok_13,Stok_14,Stok_15
A282,WHISKAS TUNA FLAVOR ADULT 500G,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1
A283,RC URINARY 400G,72,72,72,72,72,72,72,72,72,72,72,1,72,72,72
A284,RC ADULT PERSIAN 400G,80,80,80,80,80,80,80,80,80,80,80,72,80,80,80
A285,RC KITTEN 12 MONTS,24,24,24,24,24,24,24,24,24,24,24,80,24,24,24
A286,EXCEL KITTEN PINK 500 G,240,240,240,240,240,240,240,240,240,240,240,24,240,240,240
A289,OLIVE JAMUR  NATURAL SHAMPO 100ML,20,20,20,20,20,20,20,20,20,20,20,240,20,20,20
A290,OLIVE JAMUR NATURAL SHAMPO 250ML,240,240,240,240,240,240,240,240,240,240,240,20,240,240,240
A291,BOLA KRINCING ISI 5,120,120,120,120,120,120,120,120,120,120,120,240,120,120,120
A292,MAINAN FIBER BULU KERINCING,1,1,1,1,1,1,1,1,1,1,1,120,1,1,1
A294,BABY SNAPY TOM TUNA 400G,20,20,20,20,20,20,20,20,20,20,20,1,20,20,20
A299,KANDANG BESAR,40,40,40,40,40,40,40,40,40,40,40,20,40,40,40
A300,SCADIX CAT,12,12,12,12,12,12,12,12,12,12,12,40,12,12,12
A301,EAR CLINER,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1
A302,ROYALVIT SALMON OIL 30ML,10,10,10,10,10,10,10,10,10,10,10,1,10,10,10
A303,PARFUM BILLY 60ML COOL,6,6,6,6,6,6,6,6,6,6,6,10,6,6,6
A304,PARFUM BILLY 60ML BUBBLE GUM,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1
A305,PARFUM BILLY 60ML OCEAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A306,PARFUM BILLY 60ML BABY POWDER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A307,PARFUM PAWS 100ML PEACH BLOSONG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A308,PARFUM PAWS 100ML VANILA,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6
A309,PARFUM PAWS 100ML ROSE & JASMINE,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A310,PARFUM PAWS 100ML LOTUS,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A311,SHAMPO PETE & PET ANTI FUNGAL 250ML,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A312,SHAMPO  PETE & PET 2IN1 250ML,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A314,SKIN ITCH SPRAY 60ML,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1
A315,CATNIP SPRAY PETE & PET 60ML,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6
A316,PETE & PET OBAT KUTU ANJING 60ML,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
A317,COLAR FLEA  & TICK SB-OB-402,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1
A318,EYE WIPES 130CT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A319,SPIRIT EAR POWDER 50G,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A320,SIKAT MANDI S8-G-922,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A321,OYATSU CS-04 CHICKEN 50G,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
A322,OYATSU CS-02 TUNA 50G,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
A323,OYATSU CS-06 SALMON 50G,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1
A324,OMEGA 3 FISH OIL PLUS,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
A325,CAT SOSIS SALMON AS-600S,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6
A326,CAT SOSIS SKIPJACK TUNA AS-60SJ,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1
A327,CAT SOSIS COD FISH AS-600C,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
A328,PET COLAR SB-CL-1405,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6
A329,CAT SOSIS TUNA AS-600T,3,3,3,3,3,3,3,3,3,3,3,6,3,3,3
A330,ANJAY SOSIS CHICKEN AS-800C,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80
A331,ANJAY SOSIS DUCK AS-600T,50,50,50,50,50,50,50,50,50,50,50,80,50,50,50
A332,SIKAT MANDI SB-G-986,12,12,12,12,12,12,12,12,12,12,12,50,12,12,12
A333,HARNES SET SB-TS-39M,8,8,8,8,8,8,8,8,8,8,8,12,8,8,8
A334,HARNES SET SB-TS-69L,24,24,24,24,24,24,24,24,24,24,24,8,24,24,24
A335,HARNES SET SB-TS-69XL,4,4,4,4,4,4,4,4,4,4,4,24,4,4,4
A336,HARNES SET SB-TS-04S,12,12,12,12,12,12,12,12,12,12,12,4,12,12,12
A337,COLAR SB-CL-156,24,24,24,24,24,24,24,24,24,24,24,12,24,24,24
A338,COLAR SB-CL-158,1,1,1,1,1,1,1,1,1,1,1,24,1,1,1
A339,COLAR SB-CL-248,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
A340,COLAR SB-CL-140S,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6
A341,COLAR SB-CL-114S,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1
A342,TALI SB-TG06-120,16,16,16,16,16,16,16,16,16,16,16,1,16,16,16
A343,DR FLEA DROP CAT,24,24,24,24,24,24,24,24,24,24,24,16,24,24,24
A344,MEO KITTEN OCHEAN FISH 1.1KG,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A346,BAK KECIL WARNA,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A347,MEO KITTEN OTAK OTAK WHITE FISH 80G,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A348,FLEAMINATOR OBAT KUTU,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A349,IMMUNE BOSTER 20ML,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A350,FORTIS PET PARASITE KILLER 60ML,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
A351,PARFUM BUL BUL BABY POWDER 60ML,16,16,16,16,16,16,16,16,16,16,16,24,16,16,16
A352,PARFUM BUL BUL STRAWBERRY CANDY 60ML,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
A353,PARFUM BUL BUL AUTHENTIC 60ML,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
A354,CLEAN NEST COFFEE 250ML,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
A355,CLEAN NEST LAVENDER 250ML,24,24,24,24,24,24,24,24,24,24,24,16,24,24,24
A356,CLEAN NEST STRAWBERRY 250ML,6,6,6,6,6,6,6,6,6,6,6,24,6,6,6
A358,CLEAN NEST APPLE 250ML,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1
A359,ROYAL CATS 60 KAPSUL,12,12,12,12,12,12,12,12,12,12,12,1,12,12,12
A360,EASY FAT 25 KAPSUL,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A361,IMMUNE SUPPORT 50 KAPSUL,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
A362,ROYAL CARE VIT BULU,4,4,4,4,4,4,4,4,4,4,4,12,4,4,4
A363,ROYAL CARE GEMUK,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
A364,ROYAL CARE VIT IMUN,12,12,12,12,12,12,12,12,12,12,12,4,12,12,12
a365,LIFE CAT SALMON ADULT 85GR,72,72,72,72,72,72,72,67,72,72,72,73,72,72,72
